name,short_description,type,power,accuracy
Pound,Just deals damage with nothing else happening,Normal,40,100
Pound,A basic attack that hits without any side effects,Normal,40,100
Pound,Does straightforward damage and that's it,Normal,40,100
Karate Chop,More likely than usual to land a crit,Fighting,50,100
Karate Chop,This move crits more often than normal,Fighting,50,100
Karate Chop,Higher crit rate than your average attack,Fighting,50,100
Double Slap,Strikes multiple times in a single turn anywhere from 2 to 5 hits,Normal,15,85
Double Slap,Attacks repeatedly in one go hitting between 2 and 5 times,Normal,15,85
Double Slap,Lands several hits at once could be 2 hits or up to 5,Normal,15,85
Pay Day,Throws coins on the field equal to 5 times the user's level,Normal,40,100
Pay Day,Drops money worth five times your pokemon's level,Normal,40,100
Pay Day,Flings cash onto the ground the amount depends on the user's level,Normal,40,100
Fire Punch,Might leave the target with a burn,Fire,75,100
Fire Punch,Sometimes sets the opponent on fire,Fire,75,100
Fire Punch,Can inflict a burn on whatever it hits,Fire,75,100
Ice Punch,Might freeze the opponent solid,Ice,75,100
Ice Punch,Sometimes leaves the target frozen,Ice,75,100
Ice Punch,Has a shot at putting the target in a frozen state,Ice,75,100
Thunder Punch,Might leave the target paralyzed,Electric,75,100
Thunder Punch,Sometimes zaps the opponent and paralyzes them,Electric,75,100
Thunder Punch,Can inflict paralysis on the target,Electric,75,100
Guillotine,Instantly knocks out the target if it lands,Normal,,30
Guillotine,A move that faints the opponent in one shot,Normal,,30
Guillotine,If this hits it's an immediate knockout,Normal,,30
Razor Wind,Needs a full turn to charge up before it strikes,Normal,80,100
Razor Wind,You have to spend one turn powering it up before it attacks,Normal,80,100
Razor Wind,Takes a turn to wind up then hits on the next,Normal,80,100
Swords Dance,Boosts the user's Attack stat by two levels,Normal,,
Swords Dance,Sharply increases the user's physical attack power,Normal,,
Swords Dance,Pumps up the user's Attack by two stages,Normal,,
Gust,Does normal damage and can also strike airborne pokemon,Flying,40,100
Gust,A basic attack that still hits pokemon using fly or bounce,Flying,40,100
Gust,Deals damage and reaches targets that are up in the air,Flying,40,100
Whirlwind,Scares off wild pokemon and forces enemy trainers to swap out,Normal,,
Whirlwind,Ends wild encounters instantly and makes opposing trainers switch,Normal,,
Whirlwind,Blows away wild pokemon and forces a switch in trainer battles,Normal,,
Fly,The user soars up into the sky avoiding damage then swoops down to attack,Flying,90,95
Fly,Flies up and becomes untouchable for a turn then strikes on the next,Flying,90,95
Fly,User jumps into the air dodging everything and attacks on the following turn,Flying,90,95
Bind,Traps the opponent and deals damage every turn for 2 to 5 turns,Normal,15,85
Bind,Locks the target in place and chips away at them for several turns,Normal,15,85
Bind,Stops the target from running and deals damage repeatedly,Normal,15,85
Stomp,Might cause the opponent to flinch and lose their turn,Normal,65,100
Stomp,Sometimes makes the target hesitate and skip their move,Normal,65,100
Stomp,Can make the opponent flinch stopping them from acting,Normal,65,100
Double Kick,Strikes the target two times in a single turn,Fighting,30,100
Double Kick,Attacks twice in one go,Fighting,30,100
Double Kick,Lands exactly two hits per use,Fighting,30,100
Jump Kick,If it doesn't connect the user hurts themselves for half the move's power,Fighting,100,95
Jump Kick,Missing this move causes the user to take recoil damage equal to half its power,Fighting,100,95
Jump Kick,The user takes damage equal to half its power if the attack misses,Fighting,100,95
Sand Attack,Makes the opponent less accurate by one stage,Ground,,100
Sand Attack,Lowers the target's chance to hit by one level,Ground,,100
Sand Attack,Drops the opponent's accuracy down a stage,Ground,,100
Take Down,The user takes 25 percent of the damage it deals as recoil,Normal,90,85
Take Down,Deals decent damage but the user takes a quarter of it back,Normal,90,85
Take Down,Hits hard but the user suffers recoil equal to a quarter of the damage done,Normal,90,85
Thrash,Goes on a rampage for 2 to 3 turns then leaves the user confused,Normal,120,100
Thrash,Attacks every turn for a few turns but confuses the user afterward,Normal,120,100
Thrash,Keeps hitting for 2 or 3 turns then the user gets confused,Normal,120,100
Double Edge,Deals damage but the user takes back a third of what it inflicts,Normal,120,100
Double Edge,A powerful hit that costs the user a third of the damage dealt as recoil,Normal,120,100
Double Edge,Hurts the target but the user loses a third of the damage as recoil,Normal,120,100
Tail Whip,Lowers the opponent's Defense by one stage,Normal,,100
Tail Whip,Drops the target's physical defense down a level,Normal,,100
Tail Whip,Reduces the enemy's Defense stat by one stage,Normal,,100
Poison Sting,Has a shot at poisoning whatever it hits,Poison,15,100
